"area_160616","area_160617","area_160618","area_160619","area_160620","area_160621","area_160622","area_160623","area_160624","area_160625","area_160626","area_160627","area_160628","area_160629","area_160630","area_160701","area_160702","area_160703","area_160704","area_160705","well_ID","factor"
26.507,27.257,24.744,22.517,24.221,23.094,19.375,20.021,17.957,19.022,18.417,17.953,16.247,16.076,15.136,14.265,13.956,14.566,14.175,12.923,1,"ctrl"
2.88,3.171,3.038,4.887,7.781,11.692,17.703,29.276,51.98,70.77,77.198,72.63,77.07,76.956,74.772,75.435,77.835,76.955,77.772,76.298,2,"10"
3.437,3.547,3.734,5.25,8.651,13.187,20.464,34.053,56.821,71.794,75.879,78.708,73.237,74.692,74.852,71.603,71.212,74.115,71.751,72.151,3,"10"
3.359,3.249,3.13,4.161,6.826,10.445,15.326,24.231,41.851,62.111,77.94,84.768,83.627,82.103,78.934,78.539,77.059,81.213,77.3,80.472,4,"10"
3.704,3.712,3.484,4.49,7.074,10.784,16.578,26.757,47.083,67.244,79.439,83.919,80.039,79.902,79.593,76.873,74.969,76.556,77.514,76.424,5,"10"
3.135,3.211,3.144,4.237,7.57,11.727,18.095,30.912,52.633,74.826,86.599,86.168,84.547,84.959,85.398,82.627,80.053,82.145,81.938,84,6,"10"
3.742,3.753,3.73,5.023,7.893,11.844,17.419,28.102,50.506,71.86,81.126,81.592,82.238,81.551,80.046,79.891,76.906,78.93,78.413,80.314,7,"10"
4.162,4.197,3.902,5.302,8.436,13.012,19.842,30.356,47.828,66.993,78.78,78.794,78.603,77.442,76.567,74.954,74.663,75.686,76.249,78.923,8,"10"
3.126,3.084,3.168,4.36,7.215,12.294,20.608,33.679,54.622,74.415,79.871,80.735,75.606,75.659,74.002,73.337,69.612,76.654,74.466,74.061,9,"10"
4.088,3.59,3.648,4.737,7.313,11.443,17.231,28.02,48.152,67.005,75.181,78.265,72.745,73.962,71.719,71.83,67.529,73.363,69.568,70.433,10,"10"
5.189,4.422,4.444,5.838,9.277,15.293,24.019,37.403,57.067,68.474,72.035,75.904,72.494,72.959,73.043,72.009,69.129,72.851,70.85,71.431,11,"10"
6.402,6.113,5.947,6.944,9.573,13.237,18.774,30.319,51.524,69.986,77.131,79.589,76.954,74.966,74.416,74.073,71.938,74.875,72.844,74.837,12,"10"
4.364,3.599,3.825,5.227,8.805,14.767,22.12,34.755,55.027,68.916,71.737,76.659,71.378,70.194,71.616,69.809,67.497,70.802,69.51,71.783,13,"10"
3.12,3.195,3.334,4.492,7.082,10.947,16.69,26.345,44.437,62.694,76.601,80.985,76.946,75.224,73.349,71.603,70.079,75.118,74.19,75.602,14,"10"
3.879,3.614,3.725,5.153,7.987,13.059,20.451,31.349,51.875,64.372,66.501,71.542,67.88,65.904,67.247,68.766,65.036,69.588,67.38,68.635,15,"10"
4.413,4.117,4.082,4.984,7.37,11.123,17.086,26.818,42.608,59.964,75.553,81.541,75.158,74.152,74.603,73.457,70.314,73.033,70.625,72.923,16,"10"
3.382,3.751,4.131,5.663,9.554,16.106,24.466,36.91,58.481,66.972,71.161,75.855,68.956,67.813,67.33,68.491,65.574,68.756,68.343,69.093,17,"10"
3.818,3.676,3.483,4.147,5.688,8.264,12.887,21.267,33.526,48.999,64.674,82.724,76.282,72.401,73.085,72.352,68.793,73.281,71.906,72.588,18,"10"
